X-POSF,Y-POSF,X-TCMD,Y-TCMD,Z-TCMD,SPEED,S-TCMD
-0.297,-0.003,-1.126064268,4.998626751,-5.094754188,-1433,0.561523438
-0.298,-0.005,-1.167261741,5.24581159,-4.875034331,-1433,0.317382813
-0.299,-0.004,-1.126064268,5.081021697,-4.943696787,-1434,-0.164794922
-0.3,-0.004,-1.180994232,4.902499313,-5.039824224,-1434,-0.445556641
-0.301,-0.003,-1.167261741,4.971161769,-5.122219171,-1434,-0.646972656
-0.302,-0.003,-1.139796759,5.108486679,-5.108486679,-1432,-0.921630859
-0.303,-0.003,-1.112331777,5.204614117,-5.122219171,-1432,-0.78125
-0.304,-0.003,-1.139796759,4.833836858,-5.053556715,-1432,-0.573730469
-0.305,-0.003,-1.15352925,4.998626751,-5.026091733,-1432,-0.396728516
-0.306,-0.003,-1.126064268,5.149684153,-5.012359242,-1433,-0.067138672
-0.307,-0.003,-1.15352925,5.135951662,-5.012359242,-1433,-0.280761719
-0.308,-0.005,-1.126064268,4.902499313,-4.833836858,-1433,-0.421142578
-0.309,-0.003,-1.15352925,5.012359242,-5.094754188,-1434,-0.433349609
-0.31,-0.003,-1.126064268,5.135951662,-5.149684153,-1434,-0.573730469
-0.311,-0.003,-1.126064268,5.218346608,-5.149684153,-1433,-0.744628906
-0.312,-0.003,-1.098599286,4.902499313,-5.039824224,-1432,-0.68359375
-0.313,-0.003,-1.112331777,5.135951662,-5.067289206,-1433,-0.457763672
-0.314,-0.003,-1.112331777,5.355671519,-4.998626751,-1432,0.091552734
-0.315,-0.003,-1.057401813,5.149684153,-5.067289206,-1432,-0.061035156
-0.316,-0.003,-1.139796759,5.039824224,-4.98489426,-1433,-0.219726563
-0.317,-0.003,-1.112331777,5.190881626,-4.998626751,-1433,-0.622558594
-0.318,-0.003,-1.15352925,5.438066465,-5.053556715,-1434,-0.939941406
-0.319,-0.003,-1.112331777,5.122219171,-5.039824224,-1433,-1.300048828
-0.32,-0.003,-1.126064268,5.177149135,-5.039824224,-1432,-1.116943359
-0.321,-0.003,-1.112331777,5.410601483,-5.053556715,-1432,-0.939941406
-0.323,-0.003,-1.098599286,5.36940401,-5.108486679,-1432,-0.457763672
-0.324,-0.003,-1.043669322,5.135951662,-5.039824224,-1432,-0.225830078
-0.325,-0.003,-1.057401813,5.190881626,-4.998626751,-1433,0.061035156
-0.326,-0.003,-1.043669322,5.451798956,-5.067289206,-1434,0.115966797
-0.327,-0.003,-1.084866795,5.300741555,-5.026091733,-1433,-0.207519531
-0.328,-0.003,-1.098599286,5.122219171,-5.039824224,-1435,-0.018310547
-0.329,-0.003,-1.139796759,5.287009063,-5.039824224,-1434,-0.006103516
-0.33,-0.003,-1.057401813,5.465531447,-5.039824224,-1434,-0.109863281
-0.331,-0.003,-1.112331777,5.177149135,-5.053556715,-1433,0.299072266
-0.332,-0.003,-1.071134304,5.053556715,-5.053556715,-1433,0.5859375
-0.333,-0.003,-1.016204339,5.149684153,-5.053556715,-1434,0.885009766
-0.334,-0.003,-1.029936831,5.396868992,-5.053556715,-1434,0.9765625
-0.335,-0.003,-1.098599286,5.094754188,-5.039824224,-1434,0.524902344
-0.336,-0.003,-1.112331777,4.998626751,-4.98489426,-1434,0.103759766
-0.337,-0.005,-1.126064268,5.218346608,-4.820104367,-1434,-0.256347656
-0.338,-0.004,-1.15352925,5.355671519,-4.943696787,-1434,-0.634765625
-0.339,-0.003,-1.112331777,5.081021697,-5.094754188,-1433,-0.512695313
-0.338,-0.003,-1.126064268,4.902499313,-5.053556715,-1432,-0.347900391
-0.34,-0.003,-1.084866795,5.053556715,-5.081021697,-1433,0.152587891
-0.341,-0.003,-1.112331777,5.300741555,-5.012359242,-1432,0.164794922
-0.342,-0.003,-1.139796759,5.067289206,-4.971161769,-1433,0.256347656
-0.343,-0.003,-1.126064268,4.943696787,-4.971161769,-1433,0.085449219
-0.344,-0.003,-1.126064268,5.204614117,-4.971161769,-1433,-0.286865234
-0.346,-0.005,-1.180994232,5.328206537,-4.792639385,-1433,-0.421142578
-0.345,-0.004,-1.167261741,4.971161769,-4.86130184,-1434,-0.634765625
-0.347,-0.003,-1.15352925,5.012359242,-5.067289206,-1432,-0.714111328
-0.348,-0.003,-1.126064268,5.081021697,-5.081021697,-1433,-0.494384766
-0.35,-0.003,-1.043669322,5.396868992,-5.094754188,-1432,-0.073242188
-0.351,-0.003,-1.112331777,4.998626751,-4.98489426,-1432,0.103759766
-0.35,-0.003,-1.098599286,5.012359242,-5.012359242,-1432,-0.048828125
-0.353,-0.003,-1.15352925,5.314474046,-4.998626751,-1433,-0.463867188
-0.354,-0.003,-1.112331777,5.36940401,-4.943696787,-1434,-0.720214844
-0.355,-0.003,-1.15352925,5.163416644,-4.957429278,-1433,-1.147460938
-0.356,-0.003,-1.112331777,5.273276572,-4.929964296,-1433,-0.842285156
-0.357,-0.003,-1.126064268,5.534193903,-4.998626751,-1432,-0.964355469
-0.358,-0.003,-1.084866795,5.355671519,-4.98489426,-1432,-0.439453125
-0.359,-0.003,-1.098599286,5.232079099,-5.053556715,-1432,-0.360107422
-0.36,-0.003,-1.15352925,5.479263938,-4.98489426,-1432,-0.268554688
-0.361,-0.003,-1.112331777,5.63032134,-5.053556715,-1433,-0.115966797
-0.362,-0.003,-1.126064268,5.287009063,-4.98489426,-1433,-0.091552734
-0.363,-0.003,-1.112331777,5.410601483,-4.943696787,-1434,-0.286865234
-0.365,-0.003,-1.126064268,5.657786322,-5.012359242,-1434,-0.573730469
-0.366,-0.003,-1.071134304,5.561658885,-4.98489426,-1434,-0.567626953
-0.367,-0.003,-1.084866795,5.300741555,-4.998626751,-1432,-0.646972656
-0.368,-0.003,-1.084866795,5.506728921,-4.998626751,-1433,-0.225830078
-0.369,-0.003,-1.112331777,5.657786322,-4.943696787,-1433,0.256347656
-0.37,-0.003,-1.043669322,5.396868992,-5.012359242,-1432,0.354003906
-0.371,-0.003,-1.084866795,5.259544081,-4.98489426,-1434,0.378417969
-0.372,-0.003,-1.029936831,5.424333974,-4.998626751,-1434,0.012207031
-0.373,-0.003,-1.084866795,5.602856358,-4.998626751,-1434,-0.207519531
-0.374,-0.003,-1.057401813,5.314474046,-4.998626751,-1434,-0.201416016
-0.375,-0.003,-1.098599286,5.232079099,-4.998626751,-1433,-0.384521484
-0.376,-0.003,-1.084866795,5.424333974,-4.98489426,-1433,-0.054931641
-0.377,-0.003,-1.126064268,5.575391376,-4.929964296,-1433,0.067138672
-0.378,-0.003,-1.112331777,5.328206537,-4.998626751,-1433,0.317382813
-0.377,-0.003,-1.126064268,5.094754188,-4.98489426,-1434,0.604248047
-0.379,-0.003,-1.057401813,5.259544081,-4.98489426,-1433,0.469970703
-0.38,-0.003,-1.112331777,5.520461412,-5.053556715,-1434,0.360107422
-0.381,-0.003,-1.098599286,5.314474046,-4.971161769,-1435,0.250244141
-0.382,-0.003,-1.167261741,5.122219171,-4.98489426,-1434,-0.085449219
-0.383,-0.003,-1.167261741,5.314474046,-4.929964296,-1434,-0.305175781
-0.384,-0.003,-1.126064268,5.479263938,-4.998626751,-1433,-0.207519531
-0.385,-0.003,-1.126064268,5.232079099,-4.98489426,-1432,0.006103516
-0.386,-0.003,-1.098599286,5.081021697,-4.98489426,-1433,0.213623047
-0.387,-0.003,-1.112331777,5.149684153,-5.039824224,-1432,0.244140625
-0.388,-0.003,-1.112331777,5.383136501,-4.971161769,-1433,-0.109863281
-0.389,-0.003,-1.112331777,5.190881626,-4.998626751,-1433,-0.396728516
-0.39,-0.003,-1.112331777,5.067289206,-4.998626751,-1434,-0.701904297
-0.391,-0.003,-1.112331777,5.204614117,-4.998626751,-1433,-0.988769531
-0.392,-0.003,-1.15352925,5.410601483,-4.998626751,-1432,-0.994873047
-0.393,-0.003,-1.139796759,5.259544081,-4.998626751,-1432,-0.817871094
-0.394,-0.003,-1.112331777,5.135951662,-4.998626751,-1432,-0.579833984
-0.395,-0.003,-1.126064268,5.177149135,-4.98489426,-1432,-0.256347656
